id,source,date,text,keep_for_gold,relevance_score,primary_signal,rationale,noise_category
1,play_store,2026-08-29,"I recently purchased this GEAR backpack, and I’m really impressed with its quality. The material feels durable and premium, and the laptop compartment has an amazing fit. Overall, it’s a great backpack and offers good value for money.",True,100,quality_doubt,"No hesitation about purchasing the product, indicating a high-quality product.",
2,play_store,2026-08-29,Absolute fraud – sent a stone instead of a perfume! Zero stars if possible. Ordered a perfume and received a literal stone in the box. How does this even pass quality control? Extremely poor service and breach of trust by Myntra.,True,100,quality_doubt,"Received a stone instead of a perfume, poor quality control.",
3,play_store,2026-08-28,"I placed an order that was supposed to be delivered on the 27th, but it’s already the 28th and your tracking page still says, “We will deliver your order as soon as possible.” Pathetic service—there’s not even anyone available to register a complaint. You have completely ruined my Raksha Bandhan plans. Extremely disappointing and unacceptable. Thankyou for such great Service Myntra",True,100,delivery_uncertainty,Delayed delivery ruined Raksha Bandhan plans due to unclear tracking information.,
4,play_store,2026-08-28,"incompetent devs. I am unable to login my old account. I login with the exact same phone number and everything is blank, no data, no previous orders shown, nothing. upon adding my email in account details it says account already exists. then why don't you give option to login with email. seems like the devs got their job with donation.",True,100,technical_issue,Reports login issues and incompetence of developers.,
5,play_store,2026-08-28,"An absolute go-to app for fashion shopping! The interface is clean, easy to navigate, and offers a massive variety of clothing, footwear, and lifestyle brands. Delivery is usually on time, and the hassle-free exchange and return policy makes online shopping completely stress-free. Highly recommended!",True,100,no_purchase_blocker,"user has no complaints, implies no purchase blockers",
6,play_store,2026-08-28,"⭐⭐⭐⭐⭐ “Great shopping experience on Myntra! Product quality was excellent, delivery was quick, and everything was exactly as expected. Definitely a reliable platform for online shopping.”",True,100,quality_confidence,Mentions excellent product quality and reliable platform.,
7,play_store,2026-08-28,"Absolutely love these Mynta shoes! ❤️ Super stylish, comfortable, and classy. Highly recommended! ⭐⭐⭐⭐⭐",True,100,quality_confidence,"Expresses satisfaction with product quality, comfort, and style.",
8,app_store,2026-08-28,"Gorgeous. Design the fitting, clothes everything is perfect. Just love it",True,100,liked_look,saved because it looked gorgeous,
9,app_store,2026-08-28,Man baggy loose fit. Best quality products,True,100,fit_uncertainty,saved because of man baggy loose fit,
10,play_store,2026-08-28,mara account deactivate kar diya!,True,100,account_deactivated,"User's account was deactivated, indicating a potential issue with the app.",
11,play_store,2026-08-28,costumer support is a joke ...,True,100,customer_support,"Customer support was described as a 'joke', indicating a potential issue with service.",
12,youtube,2026-08-26,Well more interested in the pants...what's it called?,True,100,fit_uncertainty,Customer is interested in the pants but is unsure about the name of the product.,
13,youtube,2026-08-26,can you share the trouser linkk?,True,100,fit_uncertainty,"Customer is asking for the link to the trouser, indicating uncertainty about fit.",
14,youtube,2026-08-07,Ye bilkul v sahi aps nhi h myntra pe ada adhura saman bhejta h Or jb missing k cmpln karo to ye log bekuf bnata h 2 august ko mene odr mgaya myntra ne ada adura products bheja lekin abhi tak ye log mera products vaps nhi kie vry bd myntra,True,100,quality_doubt,Experienced issues with missing products and non-refund,
