source,text,date
play_store,Complete fashion solutions 100 percent original,2026-08-29
play_store,trust issue with this app fake app,2026-08-29
play_store,"Myntra never disappoints! 🛍️✨ Great collection, amazing styles, and a smooth shopping experience. Definitely one of my favourite fashion apps! ❤️",2026-08-29
play_store,I have ordered an earbuds it was about to reach on 19th August I am still asking on 29 August where is my order waiting for my order for asking for cancellation but not able to cancel it as well pathetic service,2026-08-29
play_store,it is very poor in privacy and safety on my account there are back to back please order but I i don't place any order and costmar care are very lengthy and unhelpful,2026-08-29
play_store,Good App to buy,2026-08-29
play_store,worst customer service and return request policy ever. please don't use this app anymore they will trouble you like you are not valuable,2026-08-29
play_store,scamer if you return product they don't refund platform fee and cash on delivery handling charges,2026-08-29
play_store,good quality products. clothes are very comfortable,2026-08-29
play_store,"""I want to upload a video from my gallery to Myntra's Glam & Clan section. The app shows me the gallery option, but when I click on it, my gallery does not open. Please resolve this problem as soon as possible.""can't upload video on myntra glam up",2026-08-29
play_store,very good I like so much,2026-08-29
play_store,Pic in pic mode not working for myntra app,2026-08-29
play_store,Myntra terminated my account and has no respect for its customers. Would not recommend to anyone,2026-08-29
play_store,very bad response myntra not 🚫 proper time delivery product very fake,2026-08-29
play_store,very good myntra,2026-08-29
play_store,"Myntra is one of my favorite shopping apps! I've purchased so many things from here, and I've always been happy with the quality. The products are genuine, the quality is great and the delivery is super fast. I always have a wonderful shopping experience with Myntra. Highly recommend 💫",2026-08-29
play_store,nice product fast delivery,2026-08-29
play_store,"I ordered a foot station brand ballerina and received a different brand. when I tried to exchange the size, the delivery agent denied the exchange as the app didn't accept the product received from them as it was a different brand and asked me to connect with the customer service loop. it is so frustrating when the customer service loop starts. why should I go in that loop when I am not responsible for the wrong brand received.",2026-08-29
play_store,"Sometimes it becomes very difficult to order from this, as soon as you go to order, the prices increase, this is a very bad thing, otherwise the shopping platform is quite good, it sends 10 out of 10 very good items.",2026-08-29
play_store,Good Quality in Reasonable Price,2026-08-29
play_store,yah bahut hi bekar bekar app Abhishek se galti se bhi Saman mat mangae product jo bhi mangoge aap khud pachtaoge yah company pahle to itna achcha achcha dikhati Hai light mein aur FIR itne bekar product aate Hain ki Ham pen bhi nahin sakte isko pante hi bhikhari ki tarah lagte Hain main is per ek Shayar bhi nahin Dena chahta lekin kam se kam ektari hai isliye main kam se kam ek story de raha hun aur mera yah manana hai kis app Se kabhi bhi Saman mat khariden aap dusre app ja sakte hai,2026-08-29
play_store,fabulous 😍🤩 app,2026-08-29
play_store,best quality products,2026-08-29
play_store,The worst app I have ever seen the delivery service is the worst. The delivery was delayed like 5 times They always changed the date and when the delivery came I ordered shoes the box is totally crushed and the shoes are used and after the they asked review in app and I said about delivery services and primary package 📦 damaged they rejected my review and I give photos also but they not agree and the shoes 👟 also used and the customer care service also worst after this talk you using enjoy,2026-08-29
play_store,Good Quality products,2026-08-29
play_store,hi myntra shop why are you deactivated in my account,2026-08-29
play_store,worst delivery experience.. as our location doesn't show in their maps..,2026-08-29
play_store,"Delivery does not come on time, the delivery in-charge has a very poor system, do not order from this app, it is a waste of time",2026-08-29
play_store,amazing products,2026-08-29
play_store,worst shopping app no customer care service they doesn't care about their customers at all.,2026-08-29
play_store,"return policy is very bad ,they rejected return for some products code even product is same or original with tag",2026-08-29
play_store,perfect app for shopping,2026-08-29
play_store,"Very disappointing experience with Myntra. We received the wrong product and raised a replacement request. The delivery guy collected it, but it never got properly updated in the system. It’s been two weeks and we still haven’t received the replacement or refund. Customer support is honestly useless. Every time it’s just “sorry” and scripted responses, but nobody actually resolves the issue. No proper update, no action, nothing. Very poor service and honesty not trustworthy",2026-08-29
play_store,Easy to use & immediate action,2026-08-29
play_store,I like myntra but your delevery is very slow,2026-08-29
play_store,I love shopping from myntra,2026-08-29
play_store,Their Glam clam is literally SCAM. The moment you upload your photo they will take years to approve it so that you don't get a commission or any reward. Such a scam platform,2026-08-29
play_store,I'm unable to place cash on delivery order myntra person came yesterday at 11pm misbehaving delivery partner misconduct,2026-08-29
play_store,Good products easy to buy make life flexible,2026-08-29
play_store,a good platform to buy goods,2026-08-29
play_store,"⭐⭐⭐⭐⭐ Product bahut achha hai. Quality bhi kaafi good hai aur exactly jaisa image mein dikhaya tha, waisa hi mila. Fitting aur material dono perfect hain. Overall, product se bahut satisfied hoon. ❤️",2026-08-29
play_store,Good quality clothes with varieties and range.,2026-08-29
play_store,nice experience with Myntra,2026-08-29
play_store,Worst app. Delivery is not on time,2026-08-29
play_store,Absolute fraud – sent a stone instead of a perfume! Zero stars if possible. Ordered a perfume and received a literal stone in the box. How does this even pass quality control? Extremely poor service and breach of trust by Myntra.,2026-08-29
play_store,Overall Good experience.,2026-08-29
play_store,soo beautiful I loved it....fabric very soft,2026-08-29
play_store,very good n comfortable blindly follow after ordering product will reach you.,2026-08-29
play_store,best myntra ever,2026-08-29
play_store,best experience,2026-08-29
play_store,"​I love shopping on Myntra. The app is very easy to use, offers genuine brands with great discount offers, and delivery is always hassle-free!",2026-08-29
play_store,I'm very grateful from shopping on myntra 🥰🤌🏻💫,2026-08-29
play_store,suddenly my account got deactivated and the customer care is not responding to my call worst app,2026-08-29
play_store,I'm very happy with Myntra Experience🥰,2026-08-29
play_store,"It's the most user friendly app, and we get the best discounts with the best quality. Total fuss free experience!!!",2026-08-29
play_store,best app for clothing,2026-08-29
play_store,One of the worst applications I've ever seen.,2026-08-29
play_store,Fraud App....My money does not refund plz don't use this app,2026-08-29
